slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
cloudwater-brew-co,Cloudwater Brew Co,Manchester,Cerveza,,"7-8 Piccadilly Trading Estate, Manchester M1 2NP","Brewery in central Manchester with its own taproom, brewing modern keg and canned beer.",,,info@cloudwaterbrew.co,https://cloudwaterbrew.co/,https://www.facebook.com/cloudwaterbrew,https://www.instagram.com/cloudwaterbrew,,53.477807,-2.221252,,parcial,sí,ecommerce,,133,en,,,,,
silver-apples-bakery,Silver Apples Bakery,Stockport,Pan y cereal,bread and baked goods,"6 Waterloo Industrial Park, Upper Brook Street, Stockport, SK1 3BP",Silver Apples Bakery produces bread and baked goods at its Stockport site.,,+441614804384,office@thesilverapples.com,https://silverapplesbakery.com/,,,,53.408122,-2.151003,,verificado,no comprobado,,,582,en,,,,,
blackedge-brewing-co,Blackedge Brewing Co,Horwich,Cerveza,cask and craft beer,"Moreton Mill, Hampson Street, Horwich, Bolton, BL6 7JH",Independent microbrewery producing cask keg and bottled beers beneath its Horwich brewery bar.,Mon-Fri 08:30-16:30,+441204692976,sales@blackedgebrewery.com,https://www.blackedgebrewery.co.uk/,,,,53.601466,-2.552762,,verificado,sí,ecommerce,,64,en,,,,,
seven-bro7hers-brewery,SEVEN BRO7HERS Brewery,Salford,Cerveza,craft beer,"Unit 63 Waybridge Enterprise Centre, Daniel Adamson Road, Salford, M50 1DS",Family-founded brewery producing its own beer at a working Salford brewery and taproom.,Fri 14:00-22:00; Sat 12:00-22:00,+441612282404,taproom@sevenbro7hers.com,https://www.sevenbro7hers.com/,,,,53.477689,-2.307754,,verificado,sí,ecommerce,,572,en,,,,,
stubborn-mule-brewery,Stubborn Mule Brewery,Timperley,Cerveza,craft beer,"Unit 1 Skelton Road, Timperley, Altrincham, WA14 1SJ",Independent brewery making and selling its own beer from its Timperley brewhouse.,Mon-Fri 08:00-17:00,+447730515251,tapandshop@stubbornmulebrewery.com,https://stubbornmulebrewery.com/,,,,53.400158,-2.342282,,verificado,sí,ecommerce,,625,en,,,,,
bolton-gin-company,The Bolton Gin Company,Horwich,Destilados y licores,flavoured gin,"Unit 9 Weavers Corner, Hampson Street, Horwich, Bolton, BL6 7JH",Independent spirits producer crafting gin vodka rum and bottled cocktails in Bolton.,Mon-Sat 10:00-16:00,+441204699096,info@theboltongincompany.co.uk,https://www.theboltongincompany.co.uk/,,,,53.601466,-2.552762,,verificado,sí,ecommerce,,645,en,,,,,
green-arches,Green Arches,Manchester,Cerveza,keg and cask beer,"Arch 15 Red Bank, Manchester, M4 4HF",Independent Manchester brewery producing a range of keg and cask beers at its Green Quarter bar and brewery.,,,sales@greenarchesmcr.com,https://greenarchesmcr.com/,,,,53.489810,-2.238270,,parcial,no comprobado,,,276,en,,,,,
little-heath-farm-shop,Little Heath Farm Shop,Dunham Massey,Carne,grass-fed beef and lamb,"Little Heath Farm Shop, Cow Lane, Dunham Massey, Altrincham, WA14 4SE",Working family farm selling its home-reared beef pork and lamb with full farm-to-fork traceability.,Wed-Sun 10:00-17:30,+441619280520,lhfs@hotmail.co.uk,https://www.littleheathfarmshop.co.uk/,,,,53.388626,-2.391852,,verificado,no,,,398,en,,,,,
dunham-massey-farm-ice-cream,Dunham Massey Farm Ice Cream,Dunham Massey,Helados,farm-made ice cream,"Ash Farm, 34 Station Road, Dunham Massey, Altrincham, WA14 5SG",Farm producer making a changing range of ice cream on the premises from double cream and whole milk.,Daily 12:00-17:00,+441619281230,,https://www.dunhammasseyicecream.com/,,,,53.388740,-2.414076,,verificado,no comprobado,,,195,en,,,,,
stiff-tea-brewing-company,Stiff Tea Brewing Company,Manchester,Cerveza,hard kombucha,"Unit 3 Hoyle Street Industrial Estate, Hoyle Street, Manchester, M12 6HG",Small Manchester brewery producing alcoholic hard kombucha from tea fruit and hops.,Mon-Fri 09:00-17:00,+441615291117,,https://stifftea.com/,,,,53.473994,-2.222528,,parcial,no,,,617,en,,,,,
