slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
gefluegelhof-feld-lebach,Geflügelhof Feld,Lebach,Huevos,"Eier, Geflügel, Bauernnudeln und Eierlikör","Heusweiler Straße 10, 66822 Lebach",,"Mo-Sa 08:00-12:00; Tu,Fr 13:30-17:00",+4968812147,info@eier-feld.de,https://www.eier-feld.de/,,,,49.393004,6.922752,,,sí,telefono,Carne|Pan y cereal|Destilados y licores,1051,,,,,,,de,westdeutschland,saarland,,,,,,
hobby-imkerei-ziegler-merzig,Hobby-Imkerei Ziegler,Merzig,Miel,Honig und Reinzuchtköniginnen,"Mondorfer Straße 35, 66663 Merzig",Hobby beekeeping for honey; member of the Viezstraße / Route du Cidre.,,+496869814,email@bienenzucht-ziegler.de,https://www.bienenzucht-ziegler.de/,,,,49.423140,6.571403,,,no comprobado,,,1206,en,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-imkereibedarf-zenner-merzig,Imkerei & Imkereibedarf Zenner,Merzig,Miel,"Honig, Honigprodukte und Imkereibedarf","Römerstraße 2, 66663 Merzig",Beekeeping and beekeeping supplies; member of the Viezstraße / Route du Cidre.,,+4968611735,imkerei.zenner@gmail.com,,https://www.facebook.com/people/Imkerei-und-Imkereibedarf-Zenner/100063717181923/,,,49.443242,6.597062,,,no comprobado,,,1404,en,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-gallenkamp-merzig,Imkerei Gallenkamp,Merzig,Miel,,"Fahrenwies 6, 66663 Merzig",,,,,https://bietzer-berg-honig.de/,,,,49.416297,6.655407,,pendiente,no comprobado,,,1399,,,,,,,de,westdeutschland,saarland,,,,,,
maries-ziegen-schafhof-merzig,Maries Ziegen- & Schafhof,Merzig,Lácteos y quesos,"Ziegen- und Schafkäse, Wurst und Fleisch","Büdinger Straße 10, 66663 Merzig",Sheep and goat products; member of the Viezstraße / Route du Cidre.,,+49686993444,mariesziegenhof@aol.com,,,,,49.424543,6.569630,,pendiente,no comprobado,,Carne,1694,en,,,,,,de,westdeutschland,saarland,,,,,,
leibrocks-hofladen-neunkirchen,Leibrocks Hofladen,Neunkirchen,Carne,"Rind- und Schweinefleisch, Wurst und Räucherwaren","Eschweilerhof 22, 66539 Neunkirchen",,Th-Fr 14:00-18:00,+496849786,info@leibrocks-hofladen.de,https://www.leibrocks-hofladen.de/,,,,49.300672,7.207428,,,no,,,1626,,,,,,,de,westdeutschland,saarland,,,,,,
imkerei-timmer-perl,Imkerei Timmer,Perl,Miel,Honig und Bienenprodukte,"Leukstraße 6, 66706 Perl",Beekeeping; member of the Viezstraße / Route du Cidre.,,+496868253,remy.timmer@t-online.de,,,,,49.476039,6.444320,,pendiente,no comprobado,,,1422,en,,,,,,de,westdeutschland,saarland,,,,,,
latz-obstplantage-saarwellingen,Latz Obstplantage,Saarwellingen,Fruta y verdura,"Bio-Äpfel, Bio-Birnen und Apfelsaft","Lebacher Straße 125, 66793 Saarwellingen",,,+49683882393,latz.obstplantage@t-online.de,https://www.latz-obstplantage.de/,,,,49.359555,6.814373,,,no,,Bebidas sin alcohol,1621,,,,,,,de,westdeutschland,saarland,,,,,,
bruch-brauerei,Bruch Brauerei,Neunkirchen,Cerveza,"Bruch No. 1, Saarbrücker Hell, Zwickel","Königstraße 8, 66538 Neunkirchen",Cervecería histórica del Saarland reabierta en 2025 en su nueva planta de Neunkirchen.,,,,https://www.bruch-bier.de/,,,,49.3458816,7.1738490,,pendiente,no comprobado,,,690,es,,,,,,de,westdeutschland,saarland,,,,,,
igbier-privatbrauerei,IGBier Privatbrauerei,St. Ingbert,Cerveza,"Lager, Weizen, Bierspezialitäten","St. Herblainer Straße 8, 66386 St. Ingbert",Microcervecería doméstica profesional con sala de cocción propia de 200 litros.,,+4915129018300,info@igbier.de,https://igbier.de/,,,,49.2836312,7.1290809,,pendiente,sí,whatsapp,,1382,es,,,,,,de,westdeutschland,saarland,,,,,,
