slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
baird-farm,Baird Farm,North Chittenden,Despensa artesanal,"maple syrup, maple sugar, maple cream","65 West Rd, North Chittenden, VT 05763","Baird Farm is a family sugarhouse producing Vermont maple syrup, maple sugar, and maple cream, with tours offered at the farm.",,+18025588443,,https://bairdfarm.com/,,,,,,/productores/us/new-england/vermont/baird-farm.webp,,sí,ecommerce,,248,en,,,,,,us,new-england,vermont,,,,,,
bragg-farm-sugarhouse,Bragg Farm Sugarhouse,East Montpelier,Despensa artesanal,"pure maple syrup, maple sugar, maple cream","1005 VT Route 14 North, East Montpelier, VT 05651","Bragg Farm Sugarhouse boils Vermont maple sap over a wood-fired evaporator and sells syrup, sugar, and maple cream.",,+18022235757,braggfarmmaple@aol.com,https://braggfarm.com/,,,,,,/productores/us/new-england/vermont/bragg-farm-sugarhouse.webp,,sí,ecommerce,,556,en,,,,,,us,new-england,vermont,,,,,,
morse-farm-maple-sugarworks,Morse Farm Maple Sugarworks,East Montpelier,Despensa artesanal,"Vermont maple syrup, maple sugar, maple cream","1168 County Road, Montpelier, VT 05602",Morse Farm Maple Sugarworks produces maple syrup and traditional maple confections from its East Montpelier sugarbush.,,+18022232740,,https://www.morsefarm.com/,,,,,,/productores/us/new-england/vermont/morse-farm-maple-sugarworks.webp,,sí,ecommerce,,2289,en,,,,,,us,new-england,vermont,,,,,,
adams-apple-orchard-farm-market,Adams Apple Orchard Farm Market,Williston,Fruta y verdura,,"1168 Old Stage Road, Williston, VT 05495","Adams Apple Orchard Farm Market grows apples, berries, strawberries, pumpkins, and seasonal vegetables for its Williston farm market.",,,,,,,,,,,pendiente,no comprobado,,,57,en,,,,,,us,new-england,vermont,,,,,,
between-the-trees-farm,Between the Trees Farm,Lowell,Lácteos y quesos,,"120 Birchwood Drive, Lowell, VT, USA",Between the Trees Farm raises pastured pork and provides raw grass-fed milk from heritage cows while teaching homesteading skills.,,,,,,,,,,,pendiente,sí,ecommerce,Carne,389,en,,,,,,us,new-england,vermont,,,,,,
somers-family-farm,Somers Family Farm,Barnet,Fruta y verdura,,"2934 West Barnet Road, Barnet, VT, 05821","Somers Family Farm grows strawberries, vegetables, flowers, and pumpkins in Barnet for seasonal farm sales.",,,,,,,,,,,pendiente,no comprobado,,,3065,en,,,,,,us,new-england,vermont,,,,,,
spring-hill-farm,Spring Hill Farm,Grafton,Despensa artesanal,"Pure Vermont maple syrup, maple applesauce and canned peaches","86 Avery Park Drive, Grafton, VT, USA",Spring Hill Farm boils sap from its 300-acre Grafton sugarbush into maple syrup and also preserves fruit as applesauce and canned peaches.,,,,https://www.springhillfarmvt.com/,,,,,,/productores/us/new-england/vermont/spring-hill-farm.webp,pendiente,sí,ecommerce,,3117,en,,,,,,us,new-england,vermont,,,,,,
wildwood-berry-farm,Wildwood Berry Farm,East Dorset,Fruta y verdura,,"2977 Mad Tom Rd, East Dorset, VT 05253","Wildwood Berry Farm grows blueberries in East Dorset, keeps hives for farm-made honey, and produces maple syrup.",,,,,,,,,,,pendiente,no comprobado,,,3633,en,,,,,,us,new-england,vermont,,,,,,
winslow-farms,Winslow Farms,Pittsford,Fruta y verdura,,"506 Us Route 7, Pittsford, VT 05763",Winslow Farms operates a Pittsford farm stand offering seasonal products from the farm and nearby producers.,,,,,,,,,,,pendiente,no comprobado,,,3654,en,,,,,,us,new-england,vermont,,,,,,
adams-farm-and-meat-processing-shop,Adams Farm and Meat Processing Shop,Wilmington,Carne,,"15 Higley Hill, Wilmington, Vermont 05363",,,,,,,,,,,,pendiente,no comprobado,,,59,,,,,,,us,new-england,vermont,,,,,,
