slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
la-bergerie-du-sart,La Bergerie du Sart by Cedric & Joy,Ath,Carne,Lamb burgers and skewers,,Sheep farm in Ormeignies selling burgers and skewers made entirely from its own flock.,,,,,,,,,,,pendiente,no comprobado,,,636,en,,,,,
les-cinq-epines,Les Cinq Épines,Braine-le-Comte,Lácteos y quesos,"Butter, cheese, yoghurt and ice cream",,"Dairy and mixed-crop farm transforming its milk on site into butter, cheese, yoghurt and ice cream for its farm shop.",,,,,,,,,,,pendiente,no comprobado,,Fruta y verdura,637,en,,,,,
la-chevrerie-bio-de-pipaix,La Chèvrerie Bio de Pipaix,Leuze-en-Hainaut,Lácteos y quesos,Goat cheese and yoghurt,,Certified-organic goat farm making cheese and yoghurt on site and selling directly from the holding.,,,,,,,,,,,pendiente,no comprobado,,,638,en,,,,,
brasserie-des-legendes,Brasserie des Légendes,Ath,Cerveza,Gouyasse|Ducassis|Quintine|Hercule,"Rue du Castel 19, 7801 Irchonwelz","Brasserie familiale installée au Castel d’Irchonwelz, qui produit notamment les bières Gouyasse et Ducassis et cultive une partie de son orge dans sa ferme.",,,,https://www.brasseriedeslegendes.be/,,,,50.620619,3.758000,/productores/be/wallonie/hainaut/brasserie-des-legendes.webp,,sí,ecommerce,,149,fr,,,,,
brasserie-des-carrieres-diole,Brasserie des Carrières - Diôle,Belœil,Cerveza,Diôle Blonde|Diôle Ambrée|Diôle Brune,"Rue de Condé (Bas) 62, 7971 Basècles","Brasserie de Basècles fondée dans une ancienne scierie, qui élabore la gamme Diôle avec de l’orge et du houblon cultivés à proximité.",,+32473404081,taverne@diole.be,https://brasseriedescarrieres.be/,,,,50.533330,3.716670,/productores/be/wallonie/hainaut/brasserie-des-carrieres-diole.webp,,no,,,147,fr,,,,,
brasserie-de-la-couronne,Brasserie de la Couronne,Binche,Cerveza,Impératrice|Marquise,"Rue Albert 1er 42, 7134 Leval","Microbrasserie de Leval-Trahegnies qui brasse sur place l’Impératrice, la Marquise et des bières pour d’autres marques locales.",,+32472322597,info@brasseriedelacouronne.be,,,,,50.431520,4.208774,,pendiente,no comprobado,,,135,fr,,,,,
brasserie-la-binchoise,Brasserie La Binchoise,Binche,Cerveza,La Binchoise Blonde|La Binchoise Brune|Bière des Ours,"Faubourg Saint-Paul 38, 7130 Binche","Brasserie de Binche qui produit sa gamme La Binchoise et la Bière des Ours, avec brassage, refermentation en bouteille et boutique en ligne.",,,,https://www.brasserielabinchoise.be/,,,,50.408004,4.166807,/productores/be/wallonie/hainaut/brasserie-la-binchoise.webp,,sí,ecommerce,,167,fr,,,,,
brasserie-deseveaux,Brasserie Deseveaux,Boussu,Cerveza,Sarazen|Avena|Blanche de Boussu,"Rue d'Hanneton 8, 7300 Boussu",Brasserie familiale de Boussu qui brasse toute sa production sur place et travaille notamment le sarrasin pour la Sarazen et l’avoine pour l’Avena.,,+3265691242,info@brasserie-deseveaux.be,https://sarazen.be/,,,,50.426718,3.795017,/productores/be/wallonie/hainaut/brasserie-deseveaux.webp,,no,,,151,fr,,,,,
brasserie-du-borinage,Brasserie du Borinage,Boussu,Cerveza,Urine|Empire|Mulet|Boriner Vice,"Rue du Calvaire 21, 7300 Boussu",Brasserie coopérative de Boussu qui produit sur place une gamme de bières craft et de boissons sans alcool et les vend dans son e-shop.,,,,https://brasserieduborinage.be/,,,,50.432814,3.803288,/productores/be/wallonie/hainaut/brasserie-du-borinage.webp,,sí,ecommerce,,153,fr,,,,,
blc-brasserie-artisanale,BLC Brasserie artisanale,Braine-le-Comte,Cerveza,L’indécise|La décisive|La sabrée,"Rue de la Bienfaisance 90, 7090 Braine-le-Comte","Pico-brasserie de Braine-le-Comte où sont brassées L’indécise, La décisive, La sabrée et des bières saisonnières, vendues sur rendez-vous et localement.",,+32484815088,brasserieblc@gmail.com,,,,,50.614876,4.143402,,pendiente,no,,,89,fr,,,,,
