slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
aan-t-vette-wine-estate,Aan't Vette Wine Estate,Riversdale,Vino,,Lower Long Street,,,+27728036455,kelder@aantvette.co.za,https://www.aantvettewines.co.za/,https://www.facebook.com/105623402024333,,,-34.0990906,21.2673155,,pendiente,no comprobado,,,7,,,,,,,za,western-cape,garden-route
baleia-wines-and-olive-oil,Baleia Wines and Olive Oil,Riversdale,Vino,,N2 - National Road,,,+27287131214,admin@baleiawines.com,http://www.baleiawines.com/,https://www.facebook.com/187105261441469,,,-34.109746,21.2550743,,pendiente,no comprobado,,,71,,,,,,,za,western-cape,garden-route
bitou-vineyards,Bitou Vineyards,Plettenberg Bay,Vino,,N2 Goose Valley,,,+27440040369,info@bitouvineyards.co.za,https://bitouvineyards.co.za/,https://www.facebook.com/610722892116555,,,-34.051316,23.3527944,,pendiente,no comprobado,,,104,,,,,,,za,western-cape,garden-route
boplaas-hartenbos,Boplaas Hartenbos,Hartenbos,Vino,,"Hart & Bosch Village (same building as Salt & Copper Restaurant), R102, Hartenbos, Garden Route.",,,+27664994320,hartenbos@boplaas.co.za,http://www.boplaas.co.za/,https://www.facebook.com/118450938647608,,,-34.0792083,22.1402941,,pendiente,no comprobado,,,123,,,,,,,za,western-cape,garden-route
de-kombuys-estate,De Kombuys Estate,Oudtshoorn,Vino,,"De Kombuys Estate, Cango Valley",,,+27825895503,info@dekombuys.com,http://dekombuys.com/,https://www.facebook.com/794498360639736,,,-33.412993,22.2465487,,pendiente,no comprobado,,,229,,,,,,,za,western-cape,garden-route
de-krans-wines,De Krans Wines,Calitzdorp,Vino,,"9.0, GPS - S33⁰32, Station Road, Calitzdorp, 6660, Scenic Cape Route 62, 6 3E021⁰41",,,+27442133314,dekrans@mweb.co.za,,https://www.facebook.com/253575254757769,,,-33.5404123,21.6837137,,pendiente,no comprobado,,,231,,,,,,,za,western-cape,garden-route
domein-doornkraal,Domein Doornkraal,De Rust,Vino,,N12 Tussen De Rust en Oudtshoorn,,,+27827635296,wyn@doornkraal.co.za,https://doornkraal.co.za/,https://www.facebook.com/493721844138895,,,-33.545301,22.4452345,,pendiente,no comprobado,,,263,,,,,,,za,western-cape,garden-route
eden-honey-distillery,Eden Honey DISTILLERY,Knysna,Destilados y licores,destilados,19 Meeu St,,,+27768330797,info@edenhoney.africa,https://www.edenhoney.com/,https://www.facebook.com/111023518253535,,,-34.0444382,23.0756327,,pendiente,no comprobado,,,286,,,,,,,za,western-cape,garden-route
farm-hill-dairy,Farm Hill Dairy,Wilderness,Lácteos y quesos,leche y productos lácteos,"Lancewood Farm, Seven Passes Road, Hoekwil",,,+27448501155,orders@farmhilldairy.co.za,http://www.farmhilldairy.co.za/,https://www.facebook.com/656042157603204,,,-33.995018,22.5751175,,pendiente,no comprobado,,,326,,,,,,,za,western-cape,garden-route
karusa,Karusa,Oudtshoorn,Vino,,Po Box,,,+27442728717,info@karusa.co.za,http://www.karusa.co.za,https://www.facebook.com/1553817624911668,,,-33.600711,22.202622,,pendiente,no comprobado,,,455,,,,,,,za,western-cape,garden-route
ladismith-cellars,Ladismith Cellars,Ladismith,Vino,,,,,+27285511042,visit@ladismith.org.za,http://www.ladismithwines.co.za,https://www.facebook.com/170482889704393,,,-33.4973363,21.2662954,,pendiente,no comprobado,,,496,,,,,,,za,western-cape,garden-route
newstead-lund-family-vineyards,Newstead Lund Family Vineyards,Plettenberg Bay,Vino,,Redford Road,,,+27763009740,info@newsteadwines.com,http://www.newsteadwines.com/,https://www.facebook.com/174015119333813,,,-33.9497009,23.4712893,,pendiente,no comprobado,,,647,,,,,,,za,western-cape,garden-route
oaksrest-vineyards,Oaksrest Vineyards,Ladismith,Vino,,Dwarsrivier Valley,,,+27285512027,info@oaksrest.com,http://www.oaksrest.com/,https://www.facebook.com/699746500154099,,,-33.4734061,21.3508987,,pendiente,no comprobado,,,667,,,,,,,za,western-cape,garden-route
plettenvale-wines,Plettenvale Wines,Plettenberg Bay,Vino,,88 Roodefontein off Kranshoek/Plett. Road,,,+27823220765,info@plettenvalewines.co.za,http://www.twitter.com/,https://www.facebook.com/353285021453348,,,-34.0814415,23.327786,,pendiente,no comprobado,,,710,,,,,,,za,western-cape,garden-route
red-bridge-brewing-co,Red Bridge Brewing Co,Knysna,Cerveza,,5 Noble St,,,+27839972697,office@redbridgebrewing.co.za,http://www.redbridgebrewing.co.za/,https://www.facebook.com/129064393931001,,,-34.0467018,23.0772084,,pendiente,no comprobado,,,735,,,,,,,za,western-cape,garden-route
reedvalley,ReedValley,Mossel Bay,Vino,,ReedValley Wines,,,+27446981022,wine@reedvalley.com,http://www.reedvalley.com/,https://www.facebook.com/1745554885684102,,,-34.1674254,22.0182558,,pendiente,no comprobado,,,737,,,,,,,za,western-cape,garden-route
sedgefield-craft-brewery,Sedgefield Craft Brewery,Sedgefield,Cerveza,,28 Paul Kruger St,,,+27764358857,sedgebrew@gmail.com,http://www.sedgefieldbrewery.co.za/,https://www.facebook.com/614155035337428,,,-34.0099521,22.7807845,,pendiente,no comprobado,,,797,,,,,,,za,western-cape,garden-route
