slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
el-corral-del-tio-nicasio-castejon-de-valdejasa,El Corral del Tío Nicasio,Castejón de Valdejasa,Conservas,"escabechados de conejo, perdiz, codorniz y ternasco; paté de hígado de conejo","Plaza Vieja, 45, 50612 Castejón de Valdejasa, Zaragoza","Obrador familiar de Castejón de Valdejasa, con el nombre comercial de Escabechados Castejón de Valdejasa, que elabora escabechados de caza y de granja y paté de conejo.",Consultar visitas,+34976686541,info@tionicasio.com,https://tionicasio.com/,,https://www.instagram.com/tionicasio,https://www.google.com/maps/search/?api=1&query=El%20Corral%20del%20T%C3%ADo%20Nicasio%2C%20Plaza%20Vieja%2C%2045%2C%2050612%20Castej%C3%B3n%20de%20Valdejasa%2C%20Zaragoza&query_place_id=ChIJ42soyJKdWQ0RenH-ORInfqI,41.9825093,-0.9914168999999999,/productores/es/aragon/zaragoza/el-corral-del-tio-nicasio-castejon-de-valdejasa.webp,verificado,sí,ecommerce,,5147,es,,,,,
apicola-cinco-villas-ejea-de-los-caballeros,Apícola Cinco Villas,Ejea de los Caballeros,Miel,"miel cruda del Prepirineo, propóleo, jalea real y polen","Paseo de Bañera, 50600 Ejea de los Caballeros, Zaragoza",Productor apícola de Ejea de los Caballeros que elabora miel y otros productos de la colmena.,,+34652092394,apicolacincovillas@gmail.com,https://apicolacincovillas.com/,https://www.facebook.com/mieldelprepirineo,https://www.instagram.com/apicolacincovillas,https://www.google.com/maps/search/?api=1&query=Ap%C3%ADcola%20Cinco%20Villas%2C%20Miel%20del%20Prepirineo%2C%20MUSEO%20DE%20LA%20MIEL%2C%20P.%C2%BA%20de%20la%20Ba%C3%B1era%2C%2050600%20Ejea%20de%20los%20Caballeros%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJnyV0HfaLWQ0R_IeDPdUxh1Q,42.1314572,-1.1406064,/productores/es/aragon/zaragoza/apicola-cinco-villas-ejea-de-los-caballeros.webp,verificado,sí,ecommerce,,827,es,,,,,
nueces-ramon-puyod-ejea-de-los-caballeros,Nueces Ramón Puyod,Ejea de los Caballeros,Frutos secos,"sacos de nuez Chandler con cáscara de 3, 5, 10 y 15 kg","Calle Formación Profesional, 29, 50600 Ejea de los Caballeros, Zaragoza","Explotación familiar de Ejea que cultiva, seca y calibra nuez Chandler propia con manejo integrado y regenerativo del suelo.",,+34629302225,nueces@ramonpuyod.es,https://www.nuecesdeejearamonpuyod.es/,https://www.facebook.com/profile.php?id=100035059916270,https://www.instagram.com/nuecesramonpuyod,,42.1333460,-1.1365589,/productores/es/aragon/zaragoza/nueces-ramon-puyod-ejea-de-los-caballeros.webp,verificado,no comprobado,,,9097,es,,,,,
queseria-de-biota-biota,Quesería de Biota,Biota,Lácteos y quesos,Quesos y yogures de oveja,"C/ Fernando el Católico, 37, 50695 Biota, Zaragoza","Quesería familiar con rebaño propio, ordeño y elaboración de quesos y yogures de oveja.",,+34675638638,laqueseriadebiota@gmail.com,https://laqueseriadebiota.es/,,https://www.instagram.com/laqueseriadebiota,https://www.google.com/maps/search/?api=1&query=La%20Queser%C3%ADa%20de%20Biota%2C%20C.%20Fernando%20el%20Cat%C3%B3lico%2C%2037%2C%2050695%20Biota%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJG0vNae71WQ0R37qu3jOKK6Y,42.2606511,-1.1875006,/productores/es/aragon/zaragoza/queseria-de-biota-biota.webp,verificado,sí,ecommerce,,10486,es,,,,,
panaderia-julio-y-yolanda-sadaba,Panadería Julio y Yolanda,Sádaba,Pan y cereal,tortas de manteca y repostería local,"Barrio Verde Bajo, 30, Sádaba","Panadería familiar de Sádaba que elabora pan, tortas de manteca, doblericos, mantecados y magdalenas con harinas locales y ecológicas.",,+34976675088,panaderiajulioyyolanda@hotmail.es,,,,https://www.google.com/maps/search/?api=1&query=PANADER%C3%8DA-REPOSTER%C3%8DA%20Julio%20y%20Yolanda.%2C%20Bo.%20Verde%20Bajo%2C%2030%2C%2050670%20S%C3%A1daba%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJQyN1dMMeWg0RdVSIqcYC198,42.2806246,-1.2737023,,parcial,sí,telefono,,9550,es,,,,,
molino-ecotambo-sadaba,Molino Ecotambo,Sádaba,Pan y cereal,harinas y arroces ecológicos,"Carretera Sádaba-Ayerbe, s/n, 50670 Sádaba, Zaragoza",Proyecto familiar que cultiva cereal ecológico en sus campos y lo transforma en harinas y arroces en su propio molino de Sádaba.,,+34645251986,,https://www.molinoecotambo.es/,,https://www.instagram.com/molinoecotambo,https://www.google.com/maps/search/?api=1&query=Molino%20Ecotambo%2C%20Carretera%20S%C3%A1daba-Ayerbe%2C%20s%2Fn%2C%2050670%20S%C3%A1daba%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ33x3DcIfWg0Rnzh_Aqtp4qw,42.2895197,-1.2673964,/productores/es/aragon/zaragoza/molino-ecotambo-sadaba.webp,verificado,sí,ecommerce,,8906,es,,,,,
las-cardelinas-pinsoro,Las Cardelinas,Pinsoro,Fruta y verdura,"cestas de hortalizas, peras y manzanas ecológicas; compota, mermelada y zumo de manzana","Plaza Nueva, 17, 50694 Pinsoro, Zaragoza","Empresa familiar de agricultura ecológica, biodinámica y homeodinámica; prepara cestas desde 15 euros y distribuye semanalmente en el ámbito local y en el mercado agroecológico de Zaragoza.",,+34690369925,lascardelinas@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Las%20Cardelinas%2C%20Pl.%20Nueva%2C%2017%2C%2050694%20Pinsoro%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJY9TmuPoiWg0RF1KnnAlPFjE,42.1977858,-1.3364642,,parcial,no,,,8030,es,,,,,
bodegas-ruberte-magallon,Bodegas Ruberte,Magallón,Vino,"vino, cava y licores","Av. de la Paz, 28, 50520 Magallón, Zaragoza","Bodega familiar fundada en 1948 dedicada a la elaboración y crianza de vinos, cava y licores.",Consultar visitas,+34625603960,comercial@bodegasruberte.com,https://bodegasfamiliaruberte.com/,,https://www.instagram.com/bodegasruberte,https://www.google.com/maps/search/?api=1&query=Bodegas%20Ruberte%2C%20Av.%20de%20la%20Paz%2C%2028%2C%2050520%20Magall%C3%B3n%2C%20Zaragoza&query_place_id=ChIJeW_Q7uHLWw0RIbDrT-QVBXc,41.831817,-1.457404,/productores/es/aragon/zaragoza/bodegas-ruberte-magallon.webp,verificado,sí,ecommerce,,2348,es,,,,,
bodegas-aragonesas-fuendejalon,Bodegas Aragonesas,Fuendejalón,Vino,vinos de garnacha,"Carretera de Magallón a la Almunia, s/n, Fuendejalón","Bodega del Campo de Borja con garnachas centenarias, espacio Terroir-Garnacha y visitas con degustación.",Consultar visitas,+34650376519,enoturismo@bodegasaragonesas.com,https://www.bodegasaragonesas.com/,,https://www.instagram.com/bodegasaragonesas,https://www.google.com/maps/search/?api=1&query=Bodegas%20Aragonesas%2C%20Carr.%20de%20Magall%C3%B3n%20a%20la%20Almunia%2C%20S%2FN%2C%2050529%20Fuendejal%C3%B3n%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJkfCbQoTIWw0Rmcypcpq0zSQ,41.7619063,-1.4753843,/productores/es/aragon/zaragoza/bodegas-aragonesas-fuendejalon.webp,verificado,sí,ecommerce,,1798,es,,,,,
conservas-lores-bureta,Conservas Lores,Bureta,Conservas,"espárrago de Navarra IGP, pimiento del piquillo, alcachofa, menestra y pochas","Calle Goya, 8, 50547 Bureta, Zaragoza","Empresa familiar de Bureta que desde 1965 elabora artesanalmente conservas con materias primas de la ribera del Ebro, incluido espárrago de Navarra IGP.",Lun-Vie 9:00-13:00 y 15:00-19:00; Sáb 9:00-13:00,+34976852477,info@conservaslores.com,https://www.conservaslores.com/,,,https://www.google.com/maps/search/?api=1&query=Conservas%20Lores%2C%20C.%20Goya%2C%208%2C%20LOC%2C%2050547%20Bureta%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJv6cK05vJWw0RlKLKyCa8khM,41.8160951,-1.489323,,verificado,no comprobado,,,4323,es,,,,,
oliambel-bulbuente,Oliambel,Bulbuente,Aceite,"aceite de oliva virgen extra DOP, aceite ecológico y crema de aceitunas","Ctra. Nacional 122, km 70,1, 50546 Bulbuente, Zaragoza",Almazara familiar del Moncayo activa desde 1947 que elabora AOVE de variedades autóctonas y ofrece oleoturismo.,L-V 8-18; S-D 8-16,+34976852121,correo@oliambel.com,https://www.oliambel.com/,,,https://www.google.com/maps/search/?api=1&query=Oliambel%2C%20N-122%2C%20Km%2070%2C%20100%2C%2050546%20Bulbuente%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ8zi1rVqxWw0RmkZOCyXtJnw,41.8194272,-1.6087447,/productores/es/aragon/zaragoza/oliambel-bulbuente.webp,verificado,sí,ecommerce|whatsapp,,9241,es,,,,,
diamante-negro-del-moncayo-vera-del-moncayo,Diamante Negro del Moncayo,Vera del Moncayo,Setas,trufa negra,"Calle Esparras, 20, 50580 Vera del Moncayo, Zaragoza","Productor de trufa negra de plantaciones propias en el entorno del Moncayo, con tienda y actividades truferas.",Consultar temporada,+34623156112,info@eldiamantenegrodelmoncayo.com,https://eldiamantenegrodelmoncayo.com/,,https://www.instagram.com/eldiamantenegrodelmoncayo,https://www.google.com/maps/search/?api=1&query=El%20diamante%20negro%20del%20Moncayo%2C%20C.%20Esparras%2C%2020%2C%2050580%20Vera%20de%20Moncayo%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJ5ylhc0evWw0R4jErpPWBuwo,41.823979,-1.6875453,/productores/es/aragon/zaragoza/diamante-negro-del-moncayo-vera-del-moncayo.webp,verificado,sí,ecommerce,,4875,es,,,,,
panaderia-sin-gluten-el-trasmozero-trasmoz,Panadería sin gluten El Trasmozero,Trasmoz,Pan y cereal,pan y repostería sin gluten,"C/ San Miguel, 16, Pta 1, Trasmoz","Obrador de Trasmoz dedicado al pan y la repostería sin gluten, con tienda propia y pedidos por WhatsApp.",,+34618907466,,https://eltrasmozero.com/,,,https://www.google.com/maps/search/?api=1&query=EL%20TRASMOZERO%2C%20Calle%20San%20Miguel%2C%2016%20pl%201%2C%2050583%20Trasmoz%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJkRE_boKuWw0RIzLaPqP7yRs,41.826749,-1.7222162,,verificado,sí,ecommerce|whatsapp,,9660,es,,,,,
aceite-agustin-fornos-trasmoz,Aceite Agustín Fornós,Trasmoz,Aceite,"AOVE Arbequina, Templarius y aceites macerados","Calle Monasterio de Veruela, 7, 50583 Trasmoz, Zaragoza",Proyecto familiar con olivares y bodega de decantación y envasado en Trasmoz; también trabaja olivos de la Terra Alta.,Consultar visitas,+34609631286,agustinfornos@olivavirgenextra.eu,https://olivavirgenextra.eu/,,,https://www.google.com/maps/search/?api=1&query=Oliva%20Virgen%20Extra%20Agust%C3%ADn%20Forn%C3%B3s%2C%20Calle%20Monasterio%20de%20Veruela%2C%207%2C%2050583%20Trasmoz%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJS7v8xIKuWw0R-tHOV2xckJM,41.825548,-1.7238901,/productores/es/aragon/zaragoza/aceite-agustin-fornos-trasmoz.webp,verificado,sí,ecommerce,,82,es,,,,,
avicola-torre-jirauta-penaflor-de-gallego,Avícola Torre Jirauta,Peñaflor de Gállego,Huevos,huevos ecológicos,"Camino Plan de En medio, s/n, Peñaflor de Gállego",Empresa familiar de avicultura ecológica dedicada exclusivamente a huevos de gallinas camperas certificadas.,Consultar visitas,+34685161339,torrejirauta@torrejirauta.com,https://torrejirauta.com/,,,https://www.google.com/maps/search/?api=1&query=Torre%20Jirauta%2C%20Camino%20Plan%20de%20Enmedio%2C%20S%2FN%2C%2050193%20Pe%C3%B1aflor%20de%20G%C3%A1llego%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJQyMX3zAPWQ0R-9uGzREQcOo,41.7612114,-0.796781,/productores/es/aragon/zaragoza/avicola-torre-jirauta-penaflor-de-gallego.webp,verificado,no,,,1041,es,,,,,
melada-huerta-saludable-movera,Melada Huerta Saludable,Movera,Fruta y verdura,"hortaliza ecológica y mermeladas de melocotón, manzana, albaricoque y otras frutas","Camino de la Cenia, 201-D, 50194 Movera, Zaragoza",Proyecto de Movera que cultiva hortaliza ecológica y la transforma en su propio obrador; también elabora una amplia gama de mermeladas ecológicas.,,+34649623717,info@melada.es,,https://www.facebook.com/profile.php?id=100063806520345,,https://www.google.com/maps/search/?api=1&query=Espacio%20Melada%2C%20Camino%20de%20la%20cenia%2C%20201%20dpdo%2C%2050194%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJCxVhf88VWQ0RieTjvAYbFkI,41.662454,-0.8312796,,parcial,no comprobado,,,8589,es,,,,,
almazara-molino-alfonso-belchite,Almazara Molino Alfonso,Belchite,Aceite,aceite de oliva virgen extra DOP Bajo Aragón,"Ctra. Cariñena, s/n, 50130 Belchite, Zaragoza","Almazara fundada en 1907 que produce, envasa y comercializa AOVE de olivos centenarios de Campo de Belchite.",Consultar visitas,+34976830055,gestion@molinoalfonso.com,https://www.molinoalfonso.com/,,https://www.instagram.com/molinoalfonso,https://www.google.com/maps/search/?api=1&query=Aceites%20Molino%20Alfonso%2C%20Ctra.%20Cari%C3%B1ena%2C%200%2C%2050130%20Belchite%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJfzYMjmEtWQ0RwzSnZP8c_iI,41.3028905,-0.7517977,/productores/es/aragon/zaragoza/almazara-molino-alfonso-belchite.webp,verificado,sí,ecommerce,,658,es,,,,,
quesos-artesanos-de-letux-letux,Quesos Artesanos de Letux,Letux,Lácteos y quesos,Quesos de cabra y oveja,"C/ Hípica, 2, 50136 Letux, Zaragoza",Quesería artesanal que elabora quesos de cabra y oveja con leche de ganaderías extensivas.,,+34680218977,info@quesosartesanosletux.com,https://quesosartesanosletux.com/,,,https://www.google.com/maps/search/?api=1&query=Quesos%20Artesanos%20de%20Letux%2C%20C%2F%20H%C3%ADpica%20N%C2%B02%2C%2050136%20Letux%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJF8r9yJjNXg0RMorIoOTPE1w,41.25866,-0.7986829000000001,/productores/es/aragon/zaragoza/quesos-artesanos-de-letux-letux.webp,verificado,sí,ecommerce,,10737,es,,,,,
ecolecera-lecera,Ecolécera,Lécera,Otros,"cereales, legumbres, pasta, conservas y vino ecológicos","C/ Alta, 44, Lécera","Empresa familiar dedicada desde 2002 a producir, transformar y comercializar alimentos ecológicos.",Consultar web,+34976835037,info@ecolecera.com,https://www.ecolecera.com/,,https://www.instagram.com/ecolecera,https://www.google.com/maps/search/?api=1&query=Ecolecera%20S.L.%2C%20C.%20Alta%2C%2044%2C%2050131%20L%C3%A9cera%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJTUf-2dPTXg0R-FTNX14Xchw,41.2046884,-0.7108345,/productores/es/aragon/zaragoza/ecolecera-lecera.webp,verificado,no,,,5043,es,,,,,
bodegas-tempore-lecera,Bodegas Tempore,Lécera,Vino,vinos ecológicos,"Carretera Zaragoza-Montalbán, s/n, 50131 Lécera, Zaragoza","Bodega de Lécera con experiencias enoturísticas, catas, visitas guiadas y cursos de iniciación al vino.",Consultar visitas,+34976835040,info@bodegastempore.com,https://www.bodegastempore.com/,,https://www.instagram.com/bodegastempore,https://www.google.com/maps/search/?api=1&query=Bodegas%20Tempore%2C%20Carretera%20Zaragoza-Montalb%C3%A1n%2C%20s%2Fn%2C%2050131%20L%C3%A9cera%2C%20Zaragoza&query_place_id=ChIJk0e0dc7TXg0Ri2sAgROoBmY,41.2097943,-0.7110721,/productores/es/aragon/zaragoza/bodegas-tempore-lecera.webp,verificado,sí,ecommerce,,2402,es,,,,,
jalon-nature-lumpiaque,Jalón Nature,Lumpiaque,Fruta y verdura,"nectarina, melocotón plano, manzana, pera, melocotón, albaricoque y ciruela ecológicos","C/ Aragón, nave, 50295 Lumpiaque, Zaragoza","Explotación familiar fundada en 2014 en Lumpiaque, certificada en ecológico desde 2017, que vende fruta propia y almendra directamente en mercados, grupos de consumo y canales digitales.",,+34699664211,jalonnature@gmail.com,https://jalonnature.es/,https://www.facebook.com/JalonNature.Frutaecologica,,https://www.google.com/maps/search/?api=1&query=Jal%C3%B3n%20Nature%2C%20C.%20Arag%C3%B3n%2C%2050295%20Lumpiaque%2C%20Zaragoza%2C%20Espa%C3%B1a&query_place_id=ChIJfXxHCJvdWw0RUaSmo-Agccs,41.63121160000001,-1.302535,/productores/es/aragon/zaragoza/jalon-nature-lumpiaque.webp,parcial,no comprobado,,,7191,es,,,,,
